ID from CIS Mail,"ID )سوا مر( from
Registration
Google Sheet",PROBLEM#1,,,,,PROBLEM#2,,,,TOTAL
,,STATUS,SAMPLE,COMPLETE,MARK,COMMENT,STATUS,SAMPLE,COMPLETE,MARK,(... / 12)
2020170000000,#N/A,NOT DELIVERED,,,,,OK,100,100,4,4
20201701028,20201701029,NOT DELIVERED,,,,,OK,100,100,4,4
20191700886,20191700886,OK,80,100,7.6,,OK,100,100,4,11.6
20201700059,20201700059,OK,100,100,8,,OK,100,100,4,12
20201700221,20201700221,OK,100,100,8,,OK,100,80,3.4,11.4
20191700049,20191700049,OK,100,100,8,,OK,100,80,3.4,11.4
20201700659,20201700659,OK,100,100,8,,OK,100,100,4,12
20201700423,20201700423,OK,80,100,7.6,,OK,100,100,4,11.6
20201700207,20201700207,OK,80,100,7.6,,OK,100,80,3.4,11
20201700700,20201700700,OK,100,100,8,,OK,100,80,3.4,11.4
20201700989,20201700990,OK,100,100,8,,OK,100,100,4,12
20201700990,20201700991,OK,100,100,8,,OK,100,100,4,12
20201700929,20201700930,OK,100,100,8,,OK,100,100,4,12
20191700272,20191700272,COMPILE_ERR,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201701061,20201701061,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700849,20201700849,OK,80,100,7.6,,OK,100,100,4,11.6
20201700141,20201700141,OK,100,100,8,,OK,100,70,3.1,11.1
20201700266,20201700266,COMPILE_ERR,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700274,20201700274,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700329,20201700329,OK,0,0,0,,OK,100,80,3.4,3.4
20201701079,20201701079,OK,100,100,8,,OK,100,80,3.4,11.4
20201700314,20201700314,OK,100,100,8,,OK,100,100,4,12
20201700842,20201700842,OK,100,100,8,,OK,100,100,4,12
20201700865,20201700865,OK,100,90,7.4,,OK,100,100,4,11.4
20201700139,20201700139,OK,80,100,7.6,,OK,100,80,3.4,11
20201700306,20201700306,OK,100,100,8,,OK,100,100,4,12
20201700673,20201700673,TIME OUT,100,0,2,,OK,100,100,4,6
20201700477,20201700477,OK,100,100,8,,OK,100,100,4,12
20201700651,20201700651,OK,100,100,8,,OK,100,80,3.4,11.4
20201700023,20201700023,OK,100,100,8,,OK,100,100,4,12
20201700025,20201700025,OK,100,100,8,,OK,100,60,2.8,10.8
20201700668,20201700668,OK,100,100,8,,OK,100,80,3.4,11.4
20201700529,20201700529,OK,100,0,2,,OK,100,100,4,6
20201700703,20201700703,OK,80,100,7.6,,OK,100,100,4,11.6
20191700513,20191700513,OK,100,20,3.2,,OK,100,100,4,7.2
20201700275,20201700275,OK,100,100,8,,OK,100,80,3.4,11.4
20191700835,20191700835,OK,80,0,1.6,,OK,60,20,1.2,2.8
20201700623,20201700623,OK,100,100,8,,OK,100,100,4,12
20201700394,20201700394,OK,100,100,8,,OK,100,100,4,12
20201700100,20201700100,OK,100,100,8,,OK,100,80,3.4,11.4
20201700269,20201700269,OK,100,100,8,,OK,100,100,4,12
20201700209,20201700209,OK,100,100,8,,OK,100,80,3.4,11.4
20201700867,20201700868,OK,0,0,0,,OK,80,80,3.2,3.2
20201700160,20201700160,OK,100,100,8,,OK,100,90,3.7,11.7
20201700670,20201700670,OK,100,100,8,,OK,100,60,2.8,10.8
20201700552,20201700552,OK,100,100,8,,OK,100,100,4,12
20201701092,20201701092,OK,100,100,8,,OK,100,100,4,12
20201700319,20201700319,OK,100,100,8,,OK,100,100,4,12
20201700516,20201700516,OK,100,100,8,,OK,100,100,4,12
20201700647,20201700647,OK,100,100,8,,OK,100,80,3.4,11.4
20201700122,20201700122,COMPILE_ERR,0,0,0,,COMPILE_ERR,0,0,0,0
20201700711,20201700711,OK,100,100,8,,OK,100,100,4,12
20201700270,20201700270,OK,100,100,8,,OK,100,80,3.4,11.4
20201700589,20201700589,OK,100,100,8,,OK,100,100,4,12
20201700678,20201700678,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20191700420,20191700420,OK,100,100,8,,OK,100,100,4,12
20191700003,20191700003,OK,80,100,7.6,,OK,100,100,4,11.6
20201700089,20201700089,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700828,20201700828,OK,80,100,7.6,,OK,100,80,3.4,11
20201700957,20201700958,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700458,20201700458,COMPILE_ERR,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700500,20201700500,COMPILE_ERR,0,0,0,,OK,100,80,3.4,3.4
20201700230,20201700230,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700992,20201700993,NOT DELIVERED,,,,,OK,100,100,4,4
20201701206,20201701206,NOT DELIVERED,,,,,OK,100,100,4,4
20201700555,20201700555,OK,100,0,2,,OK,100,100,4,6
20201700238,20201700238,OK,100,0,2,,OK,100,80,3.4,5.4
20201700143,20201700143,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201701205,20201701205,OK,100,100,8,,OK,100,80,3.4,11.4
20201700706,20201700706,OK,100,100,8,,OK,100,100,4,12
20201700175,20201700175,OK,100,100,8,,OK,100,80,3.4,11.4
20201700719,20201700719,OK,100,100,8,,OK,100,100,4,12
20201700872,20201701168,OK,100,100,8,,OK,100,80,3.4,11.4
20201700562,20201700562,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700819,20201700819,OK,100,100,8,,OK,100,100,4,12
20201701219,20201701219,OK,80,100,7.6,,OK,100,100,4,11.6
20201700608,20201700608,OK,80,100,7.6,,OK,100,80,3.4,11
20201700408,20201700408,NOT DELIVERED,,,,,OK,100,100,4,4
20201701185,20201701180,OK,100,0,2,,OK,100,100,4,6
20201700486,20201700486,OK,100,100,8,,OK,100,80,3.4,11.4
20201701065,20201701065,OK,100,100,8,,OK,100,100,4,12
20201700239,20201700239,OK,100,100,8,,OK,100,100,4,12
20201700783,20201700783,OK,100,100,8,,OK,100,80,3.4,11.4
20201700836,20201700836,OK,80,100,7.6,,OK,100,80,3.4,11
20201700449,20201700449,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201701080,20201701080,OK,0,0,0,,OK,100,80,3.4,3.4
20201700446,20201700446,OK,100,0,2,,OK,100,80,3.4,5.4
20201700862,20201700862,OK,100,90,7.4,,OK,100,80,3.4,10.8
20201701221,20201700875,OK,100,0,2,,OK,100,100,4,6
20201700145,20201700145,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20191700874,20191700874,OK,100,0,2,,OK,100,100,4,6
20201700367,20201700367,OK,100,100,8,,OK,100,100,4,12
20201700988,20201700989,OK,100,90,7.4,,OK,100,100,4,11.4
20201701034,20201701035,OK,100,100,8,,OK,100,100,4,12
20201701142,20201701142,OK,100,90,7.4,,OK,100,80,3.4,10.8
